R1,R,Z1,Z,L1,L,Energy,Entropy,Slew Rate,Rise Time,Maximum,Minimum,DTW distance
1e-09,1e-09,35,35,100,40,221.74646119310637,0.5802837753116805,1.830356386060978,1.4423420597785423e-09,4.2923688888549805,-1.0872381925582886,417.8880361959431
10.0,1e-09,35,35,100,40,201.9485236814944,0.4884875443021111,1.516333419979726,1.741041887763245e-09,3.5777721405029297,-0.32673218846321106,218.34938288727247
15.0,1e-09,35,35,100,40,194.6426664289902,0.4289189126758457,1.326736946782887,1.9898443368156393e-09,3.327576160430908,-0.046286921948194504,205.76666822329486
22.0,1e-09,35,35,100,40,185.795158813562,0.5008179959629288,1.0020876566438723,2.6345000684288623e-09,3.2978036403656006,0.0,257.2404014257378
33.0,1e-09,35,35,100,40,173.6576820121627,0.5404476587227418,0.6442504901107763,4.097785008352981e-09,3.2801034450531006,0.0,560.3459763865201
47.0,1e-09,35,35,100,40,159.95706803551002,0.5678833778298921,0.4752091438613374,5.555448656876714e-09,3.2246832847595215,0.0,455.01020984500747
68.0,1e-09,35,35,100,40,143.00165673830634,0.5890879822535594,0.34389326902436484,7.67680044302628e-09,3.094961166381836,0.0,611.2119943365154
1e-09,10.0,35,35,100,40,218.04808625347505,0.5654945179656242,1.780653881828422,1.4826014347545064e-09,4.161114692687988,-0.9463714361190796,364.8175317541066
10.0,10.0,35,35,100,40,199.81132481916575,0.4680503322486384,1.435210242815481,1.8394517550411698e-09,3.5057671070098877,-0.24421726167201996,213.1860122880903
15.0,10.0,35,35,100,40,193.05529974644742,0.40896532134335306,1.255124593571608,2.1033768388583334e-09,3.30117130279541,-0.001802534330636263,210.3412420740157
22.0,10.0,35,35,100,40,184.383594614701,0.5108904648369452,0.9304596637634744,2.837307303921017e-09,3.2971386909484863,0.0,266.4283026861001
33.0,10.0,35,35,100,40,172.46807715309842,0.5422106938001627,0.6277014007681166,4.205821425234097e-09,3.277139663696289,0.0,741.8525051960354
47.0,10.0,35,35,100,40,158.97416005827836,0.560528998744838,0.4664111624593245,5.660241890609196e-09,3.218379259109497,0.0,564.6270907687152
68.0,10.0,35,35,100,40,142.25904010345403,0.5870647770248353,0.33943613835409503,7.777604390626164e-09,3.085904359817505,0.0,587.1198884895625
1e-09,15.0,35,35,100,40,216.2632313229551,0.5612511613297103,1.75312472743385,1.5058825870674474e-09,4.097370147705078,-0.8785250186920166,346.06818380342236
10.0,15.0,35,35,100,40,198.85357005478,0.47043355235553425,1.3986451872022878,1.8875409032656778e-09,3.4729676246643066,-0.20687299966812134,211.85166260250008
15.0,15.0,35,35,100,40,192.10858681617538,0.41122569239548695,1.2143497882154437,2.1740029319555697e-09,3.3004374504089355,-0.0009138588793575764,215.08226126546384
